Segmentos,Venda via redes sociais,Gestão das contas pelo app do banco,Participação em comunidades do interesse de meus clientes,Vendas on-line por apps,Home office,Propagandas pagas na internet,Vendas online via site,Parcerias com empresas locais para entregas e vendas em parceria,"Venda direta para os consumidores finais, antes vendia só para
intermediários",Compra de insumos diretamente dos produtores,Nenhuma das medidas citadas.
"",0.29,0.14,0.03,0,0.14,0.03,0.03,0,0.01,0.01,0.55
"",0.3,0.15,0.19,0.05,0.15,0.1,0.04,0.07,0.04,0.04,0.38
"",0.38,0.07,0.13,0.05,0.03,0.04,0.06,0.05,0.05,0.03,0.49
"",0.17,0.07,0.05,0.02,0.02,0.03,0.03,0.02,0.01,0.01,0.73
"",0.4,0.13,0.09,0.08,0.07,0.07,0.07,0.03,0.03,0.02,0.41
"",0.16,0.13,0.06,0.03,0.08,0.06,0.04,0.04,0.02,0.02,0.61
"",0.22,0.13,0.13,0.04,0.09,0.07,0.03,0.05,0.01,0.01,0.6
"",0.24,0.15,0.14,0.05,0.24,0.08,0.1,0.01,0.01,0,0.47
"",0.18,0.13,0.08,0.05,0.15,0.05,0.07,0.06,0.04,0.06,0.55
"",0.25,0.22,0.12,0.08,0.08,0.09,0.07,0.02,0.08,0.02,0.53
"",0.4,0.1,0.11,0.13,0.09,0.06,0.07,0.1,0.21,0.12,0.35
"",0.23,0.13,0.12,0.05,0.14,0.08,0.08,0.03,0.06,0.02,0.46
"",0.07,0.08,0.04,0.02,0.03,0.03,0.01,0.02,0.01,0.01,0.79
"",0.45,0.1,0.07,0.06,0.04,0.07,0.07,0.03,0.04,0.01,0.44
"",0.2,0.17,0.07,0.03,0.03,0.04,0.04,0.03,0.03,0.02,0.61
"",0.22,0.13,0.1,0.01,0.06,0.02,0.02,0.04,0.01,0,0.56
"",0.25,0.15,0.14,0.05,0.14,0.07,0.06,0.04,0.02,0.03,0.49
"",0.35,0.26,0.26,0.09,0.19,0.04,0.1,0.12,0,0,0.45
"",0.38,0.09,0.06,0.26,0.01,0.07,0.06,0.03,0.02,0.04,0.45
"",0.18,0.17,0.14,0.03,0.29,0.08,0.05,0.03,0.02,0.02,0.45
"",0.15,0.07,0.12,0,0.08,0.04,0.03,0.02,0,0,0.66
"",0.16,0.1,0.05,0.03,0.12,0.04,0.04,0.02,0.01,0.01,0.66
