Seção;Subclasse;Denominação
A;0111-3/01;Cultivo de arroz
A;0111-3/02;Cultivo de milho
A;0111-3/03;Cultivo de trigo
A;0111-3/99;Cultivo de outros cereais não especificados anteriormente
A;0112-1/01;Cultivo de algodão herbáceo
A;0112-1/02;Cultivo de juta
A;0112-1/99;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
A;0113-0/00;Cultivo de cana-de-açúcar
A;0114-8/00;Cultivo de fumo
A;0115-6/00;Cultivo de soja
A;0116-4/01;Cultivo de amendoim
A;0116-4/02;Cultivo de girassol
A;0116-4/03;Cultivo de mamona
A;0116-4/99;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
A;0119-9/01;Cultivo de abacaxi
A;0119-9/02;Cultivo de alho
A;0119-9/03;Cultivo de batata-inglesa
A;0119-9/04;Cultivo de cebola
A;0119-9/05;Cultivo de feijão
A;0119-9/06;Cultivo de mandioca
A;0119-9/07;Cultivo de melão
A;0119-9/08;Cultivo de melancia
A;0119-9/09;Cultivo de tomate rasteiro
A;0119-9/99;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
A;0121-1/01;Horticultura, exceto morango
A;0121-1/02;Cultivo de morango
A;0122-9/00;Cultivo de flores e plantas ornamentais
A;0131-8/00;Cultivo de laranja
A;0132-6/00;Cultivo de uva
A;0133-4/01;Cultivo de açaí
A;0133-4/02;Cultivo de banana
A;0133-4/03;Cultivo de caju
A;0133-4/04;Cultivo de cítricos, exceto laranja
A;0133-4/05;Cultivo de coco-da-baía
A;0133-4/06;Cultivo de guaraná
A;0133-4/07;Cultivo de maçã
A;0133-4/08;Cultivo de mamão
A;0133-4/09;Cultivo de maracujá
A;0133-4/10;Cultivo de manga
A;0133-4/11;Cultivo de pêssego
A;0133-4/99;Cultivo de frutas de lavoura permanente não especificadas anteriormente
A;0134-2/00;Cultivo de café
A;0135-1/00;Cultivo de cacau
A;0139-3/01;Cultivo de chá-da-índia
A;0139-3/02;Cultivo de erva-mate
A;0139-3/03;Cultivo de pimenta-do-reino
A;0139-3/04;Cultivo de plantas para condimento, exceto pimenta-do-reino
A;0139-3/05;Cultivo de dendê
A;0139-3/06;Cultivo de seringueira
A;0139-3/99;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
A;0141-5/01;Produção de sementes certificadas, exceto de forrageiras para pasto
A;0141-5/02;Produção de sementes certificadas de forrageiras para formação de pasto
A;0142-3/00;Produção de mudas e outras formas de propagação vegetal, certificadas
A;0151-2/01;Criação de bovinos para corte
A;0151-2/02;Criação de bovinos para leite
A;0151-2/03;Criação de bovinos, exceto para corte e leite
A;0152-1/01;Criação de bufalinos
A;0152-1/02;Criação de eqüinos
A;0152-1/03;Criação de asininos e muares
A;0153-9/01;Criação de caprinos
A;0153-9/02;Criação de ovinos, inclusive para produção de lã
